episodio,recompensa_total,pasos,terminado_por_muerte,recompensa_final_ajustada
1,1553.5999999999526,1818,True,1553.5999999999526
2,1585.6499999999585,1583,True,1585.6499999999585
3,2279.2499999999773,3852,True,2279.2499999999773
4,2314.249999999994,4709,True,2314.249999999994
5,2512.800000000014,4263,True,2512.800000000014
6,2074.949999999955,3061,True,2074.949999999955
7,2642.2500000000637,3267,True,2642.2500000000637
8,1798.5499999999445,2094,True,1798.5499999999445
9,1618.399999999948,3046,True,1618.399999999948
1,1734.349999999947,1999,True,1734.349999999947
2,2615.050000000079,3402,True,2615.050000000079
3,1320.149999999967,2198,True,1320.149999999967
4,2002.7499999999293,2660,True,2002.7499999999293
5,1424.8499999999628,1613,True,1424.8499999999628
6,1026.9499999999805,879,True,1026.9499999999805
7,2253.5499999999934,2726,True,2253.5499999999934
8,1944.1499999999617,2010,True,1944.1499999999617
9,2116.0999999999717,3060,True,2116.0999999999717
10,1032.899999999973,1395,True,1032.899999999973
1,2565.149999999978,3911,True,2565.149999999978
2,1717.19999999996,1785,True,1717.19999999996
3,1252.8499999999542,1986,True,1252.8499999999542
4,1263.1499999999673,2331,True,1263.1499999999673
5,2241.6999999999575,3488,True,2241.6999999999575
6,1425.649999999974,1053,True,1425.649999999974
7,1714.8499999999221,3718,True,1714.8499999999221
8,2303.7999999999756,3107,True,2303.7999999999756
9,2245.549999999967,2339,True,2245.549999999967
10,1356.9999999999573,1765,True,1356.9999999999573
11,1787.7499999999307,2463,True,1787.7499999999307
12,1480.8499999999588,1718,True,1480.8499999999588
13,1362.7999999999665,1568,True,1362.7999999999665
14,2145.5499999999624,3199,True,2145.5499999999624
15,3015.4500000001717,4240,True,3015.4500000001717
16,1947.649999999945,3239,True,1947.649999999945
1,2105.9499999999466,2668,True,2105.9499999999466
2,1841.6999999999418,2261,True,1841.6999999999418
3,1645.849999999945,2399,True,1645.849999999945
4,1821.6499999999446,2053,True,1821.6499999999446
5,1428.9499999999503,1730,True,1428.9499999999503
6,2648.8500000000067,5139,True,2648.8500000000067
1,2187.5999999999685,3917,True,2187.5999999999685
2,1590.0499999999565,1469,True,1590.0499999999565
3,1323.3499999999676,1927,True,1323.3499999999676
4,1955.1999999999464,2416,True,1955.1999999999464
5,2066.2499999999663,3545,True,2066.2499999999663
6,1426.999999999968,1993,True,1426.999999999968
7,1547.9999999999586,1743,True,1547.9999999999586
8,1834.1999999999268,3101,True,1834.1999999999268
9,1514.9999999999486,1941,True,1514.9999999999486
10,1527.399999999966,2224,True,1527.399999999966
11,1361.3499999999603,2512,True,1361.3499999999603
12,1861.2499999999293,3039,True,1861.2499999999293
13,1010.0999999999694,1221,True,1010.0999999999694
1,1923.6999999999252,2981,True,1923.6999999999252
2,606.6499999999985,573,True,606.6499999999985
3,1396.849999999948,2419,True,1396.849999999948
4,1424.8499999999685,1681,True,1424.8499999999685
5,1362.9499999999605,2209,True,1362.9499999999605
6,1368.349999999933,2375,True,1368.349999999933
7,1584.3499999999344,2887,True,1584.3499999999344
8,2720.0000000000746,2830,True,2720.0000000000746
9,1701.0499999999402,3890,True,1701.0499999999402
10,626.5499999999987,511,True,626.5499999999987
11,1562.6999999999568,1955,True,1562.6999999999568
12,1873.899999999957,3632,True,1873.899999999957
